intron	1715819	1716145
exon	1716146	1716246
intron	1716247	1719301
exon	1719302	1719401
intron	1719402	1719724
exon	1719725	1719766
intron	1719767	1720874
exon	1720875	1720961
intron	1720962	1722754
exon	1722755	1722848
intron	1722849	1722941
exon	1722942	1723069
intron	1723070	1738080
exon	1738081	1738154
intron	1738155	1740919
exon	1740920	1741029
intron	1741030	1742380
exon	1742381	1742462
intron	1742463	1744677
exon	1744678	1744753
intron	1744754	1745858
exon	1745859	1745957
intron	1745958	1756199
exon	1756200	1756324
intron	1756325	1758422
exon	1758423	1758495
intron	1758496	1759619
exon	1759620	1759663
intron	1759664	1761579
exon	1761580	1761631
intron	1761632	1761674
exon	1761675	1761684
intron	1761685	1761724
exon	1761725	1762644
nc	1762645	1774912
exon	1774913	1775046
intron	1775047	1798002
exon	1798003	1798169
intron	1798170	1802844
exon	1802845	1803045
intron	1803046	1805527
exon	1805528	1807069
nc	1807070	1848631
exon	1848632	1848813
intron	1848814	1866918
exon	1866919	1867085
intron	1867086	1868530
exon	1868531	1868655
intron	1868656	1872780
exon	1872781	1873327
nc	1873328	1903870
exon	1903871	1904161
intron	1904162	1913528
exon	1913529	1913695
intron	1913696	1914790
exon	1914791	1914912
intron	1914913	1917682
exon	1917683	1918778
nc	1918779	1922260
exon	1922261	1922633
intron	1922634	1925176
exon	1925177	1925312
intron	1925313	1928433
exon	1928434	1928495
intron	1928496	1928798
exon	1928799	1928855
intron	1928856	1929319
exon	1929320	1929365
intron	1929366	1931577
exon	1931578	1931667
intron	1931668	1931677
exon	1931678	1931698
intron	1931699	1933031
exon	1933032	1933065
intron	1933066	1934746
exon	1934747	1935004
intron	1935005	1936249
exon	1936250	1936374
intron	1936375	1939435
exon	1939436	1939572
intron	1939573	1941862
exon	1941863	1941942
intron	1941943	1945363
exon	1945364	1945621
nc	1945622	1961359
exon	1961360	1963393
intron	1963394	1965713
exon	1965714	1965808
intron	1965809	1966111
exon	1966112	1966237
intron	1966238	1968935
exon	1968936	1969263
intron	1969264	1969798
exon	1969799	1970015
intron	1970016	1970944
exon	1970945	1970975
intron	1970976	1973694
exon	1973695	1974009
intron	1974010	1974762
exon	1974763	1974953
intron	1974954	1975118
exon	1975119	1975713
intron	1975714	1979323
exon	1979324	1979499
intron	1979500	1980173
exon	1980174	1980241
intron	1980242	1981669
exon	1981670	1981795
intron	1981796	1983109
exon	1983110	1983222
intron	1983223	1983718
exon	1983719	1985581
nc	1985582	1988688
exon	1988689	1989002
intron	1989003	1989808
exon	1989809	1989896
intron	1989897	1994225
exon	1994226	1994327
intron	1994328	1995086
exon	1995087	1995172
intron	1995173	1997331
exon	1997332	1999602
nc	1999603	2017962
exon	2017963	2018404
intron	2018405	2019080
exon	2019081	2019129
intron	2019130	2019942
exon	2019943	2020144
intron	2020145	2020242
exon	2020243	2020362
intron	2020363	2020645
exon	2020646	2020708
intron	2020709	2020897
exon	2020898	2020986
intron	2020987	2021250
exon	2021251	2021449
intron	2021450	2022082
exon	2022083	2022156
intron	2022157	2022940
exon	2022941	2023003
